snapshot_date,territory,source,source_url,company,company_tier,title,years_min,years_max,in_band_for_1plus_yrs,location,work_mode,salary_lpa,languages,backend,frontend,retrieval_vector,agent_frameworks,llm_providers,cloud,data,ops_deploy,ml_deep,soft_asks,deliverables,excerpt
2026-09-18,indian_tech_boards,Cutshort,https://cutshort.io/job/Gen-AI-Engineer-Bengaluru-tB25iNPq,NeoGenCode Technologies,staffing,Gen AI Engineer,3,5,False,Bengaluru,hybrid,10-24,Python,REST APIs|microservices|streaming responses,,RAG pipelines|vector databases|FAISS|Pinecone|Weaviate|Chroma|embeddings,LangChain|LlamaIndex|Semantic Kernel|AI agents|orchestration layers,OpenAI|Azure OpenAI|open-source models,AWS|Azure|GCP,,Docker|Kubernetes|CI/CD|MLOps|evaluation frameworks|hallucination detection|observability,NLP|transformer-based models|fine-tuning|multimodal models|OCR,documentation|system_design|stakeholder_management,"Production GenAI applications: RAG over vector DBs, structured outputs, function calling",Hands-on experience with LLMs and GenAI frameworks. Experience in prompt engineering and system design
2026-09-18,indian_tech_boards,Cutshort,https://cutshort.io/job/AI-Engineer-Lightning-5ouDGjqF,Confidential multimedia AI platform,ai_startup,AI Engineer,1,5,True,Remote,remote,up to 30,Python,FastAPI,,RAG pipelines,LangChain|LangGraph,LLaMA|CLIP|SAM|diffusion models,AWS|GCP,data pipelines,Docker|WebSockets|evaluation tooling|quality consistency relevance metrics,PyTorch|TensorFlow|deep learning|CV|U-Net|ResNet|segmentation models,documentation,"Prototyping and integrating CV, LLM and generative models into media pipeline",Strong Python plus deep learning fundamentals. Experience with CV or LLM projects
2026-09-18,global_product_careers,amazon.jobs,https://www.amazon.jobs/en/jobs/10486421,Amazon Music,global_product,Machine Learning Engineer,1,,True,Bengaluru,,,Java|Python|C++|Go|TypeScript,,,,,,,,online serving systems|monitoring|troubleshooting,large language models|computer vision|natural language processing|deep learning classifiers,stakeholder_management,ML pipelines and low-latency serving to detect and enrich music catalog metadata,1+ years of non-internship professional software development experience
2026-09-18,global_product_careers,amazon.jobs,https://www.amazon.jobs/en/jobs/10418966,Amazon,global_product,Machine Learning Engineer II,2,,True,Bengaluru,,,C++|Java|Perl|Python,,,Document Retrieval|Search Engine Technologies|Lucene,,,,Big Data|NoSQL|Map-Reduce,distributed systems|high throughput systems,machine learning algorithms|Natural Language Processing|Document Understanding,stakeholder_management|poc_prototype,ML models for retail search relevance validated by large-scale experiments,2+ years of non-internship professional software development experience
2026-09-18,global_product_careers,amazon.jobs,https://www.amazon.jobs/en/jobs/10490052,Amazon Alexa,global_product,"Applied Scientist, Alexa International Tech",0,,True,Bengaluru,,,Java|C++|Python,,,,,,,,LLM evaluation and tooling|online and offline evaluation metrics,Large Language Models|ASR|TTS|Speech to Speech|deep learning|SFT|DPO|RLHF|RLAIF|machine translation,,"Multi-lingual LLM, ASR, TTS and speech-to-speech models plus evaluation methodology",Foundational knowledge of state-of-the-art LLM architectures and training
2026-09-18,global_product_careers,amazon.jobs,https://www.amazon.jobs/en/jobs/10498825,Amazon Alexa Edge AI,global_product,"Applied Scientist, Alexa Edge AI",1,,True,Bengaluru,,,Java|C++|Python,,,,,,,,evaluation frameworks|deployment at scale|inference optimization,computer vision|audio processing|multimodal|distributed training|model compression|pruning|quantization|distillation|speech recognition,mentoring,"Deep learning models for CV, audio and multimodal fusion on edge and cloud",1+ years of building models for business application experience
2026-09-18,global_product_careers,amazon.jobs,https://www.amazon.jobs/en/jobs/10516477,Amazon Alexa AI,global_product,"Data Scientist, Alexa AI",2,,True,Bengaluru,,,SQL|Python|R,,,,,,,SQL|Hadoop|Spark|Hive,evaluating AI systems,ASR|NLU|Machine Learning|Computer Vision,documentation,Data experiments and algorithms advancing speech and language technology,"1+ years of data querying languages, 2+ years data/research scientist"
2026-09-18,global_product_careers,amazon.jobs,https://www.amazon.jobs/en/jobs/10507927,Amazon CMT,global_product,Applied Scientist I,,,False,Chennai,,,Java|C++|Python|SQL,,,,,,,SQL|RDBMS|Data Warehouse,,machine learning|large language models in production|recommender systems,poc_prototype|documentation,Models for product similarity and price recommendations pushed into production,"Experience programming in Java, C++, Python. Experience with SQL and RDBMS"
2026-09-18,global_product_careers,amazon.jobs,https://www.amazon.jobs/en/jobs/10458636,Amazon India,global_product,"Applied Scientist, International ML",,,False,Bengaluru,,,Java|C++|Python|SQL,,,,,,,SQL|RDBMS|Data Warehouse,,machine learning|statistical techniques,,"Production ML for recommendations, fraud models, catalog extraction","Experience programming in Java, C++, Python or related language"
2026-09-18,global_product_careers,amazon.jobs,https://www.amazon.jobs/en/jobs/10541351,Amazon GO-AI,global_product,"Support Engineer I, MLDOps",1,,True,Chennai,,,,,,,Agentic systems|conversational AI,,Lambda|API Gateway|DynamoDB|serverless|cloud telephony,real-time analytics,troubleshooting|debugging|runbooks|integration guides,Generative AI,documentation|stakeholder_management|mentoring|client_facing,Cloud contact-centre channels with conversational AI and intelligent routing,1+ years of software development or technical support experience
2026-09-18,global_product_careers,Databricks careers,https://databricks.com/company/careers/open-positions/job?gh_jid=8632126002,Databricks,global_product,Full Stack Developer (AI Agents),3,,False,Bengaluru,,,Python|Node.js,Node.js|REST|GraphQL,React.js,,LangChain|LangGraph|ReAct loop|AI agents|LLM orchestration|prompt engineering|tools/plugins,Large Language Models,,event-driven architectures|webhooks|CDC,observability|logging|tracing|CI/CD|DevOps|testable code,,system_design|documentation|agile,"Production AI agents with agentic logic in Python, React UI and run-level observability","3+ years full-stack with Python and React.js. Proven experience designing, building and deploying at least 1 production-deployed AI agent"
2026-09-18,global_product_careers,Databricks careers,https://databricks.com/company/careers/open-positions/job?gh_jid=8099751002,Databricks,global_product,AI Engineer - FDE (Forward Deployed Engineer),,,False,Remote India,remote,,,,,RAG,multi-agent systems|LangChain|DSPy,HuggingFace,AWS|Azure|GCP,Apache Spark|pandas,LLMOps|evaluation|optimizations|production-grade GenAI deployments,fine-tuning|scikit-learn|PyTorch|Text2SQL,client_facing|stakeholder_management,Customer-facing GenAI applications taken to production rollout,"Experience building GenAI applications including RAG, multi-agent systems, Text2SQL, fine-tuning with HuggingFace, LangChain and DSPy"
2026-09-18,global_product_careers,Adobe Careers,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Noida/Computer-Scientist---I_R170875,Adobe,global_product,Computer Scientist I,3,6,False,Noida,,,C++|Java|Python,,,RAG|KAG,,,,,,GenAI,code_review|requirements_gathering,Software applications with GenAI concepts as background knowledge,"Knowledge of GenAI concepts like RAG, KAG and latest developments in this area"
2026-09-18,global_product_careers,Google Careers,https://www.google.com/about/careers/applications/jobs/results/99011220777902790,Google,global_product,"Software Engineer III, AI/ML Infrastructure",2,,True,Bengaluru,,,,,,,,,,data processing,ML infrastructure|model deployment|model evaluation|optimization|kernel debugging|performance tuning,Speech/audio|reinforcement learning|model optimization,code_review|documentation,ML infrastructure and performance work at Google scale,2 years of software development experience. 1 year of experience with ML infrastructure
2026-09-18,global_product_careers,Google Careers,https://www.google.com/about/careers/applications/jobs/results/83807658246578886,Google,global_product,"Software Engineer III, AI/ML",2,,True,Hyderabad,,,,,,,,,,data processing,ML infrastructure|model deployment|model evaluation|optimization|debugging,Speech/audio|reinforcement learning|model optimization,code_review|documentation,Product and system development code in a specialized ML area,2 years of software development experience. 1 year of experience with ML infrastructure
2026-09-18,global_product_careers,Google Careers,https://www.google.com/about/careers/applications/jobs/results/103397997294822086,Google Cloud,global_product,"Software Engineer III, AI/ML, Google Cloud",2,,True,Bengaluru,,,Python|C++,,,,,LLM|Multi-Modal|Large Vision Models,AI Platform,data processing,ML infrastructure|model deployment|model evaluation|optimization,GenAI|Machine Learning|text image video audio generation,system_design,"End-to-end GenAI features for Cloud editors across front-end, serving and modeling","1 year of experience with core GenAI concepts (LLM, Multi-Modal, Large Vision Models)"
2026-09-18,indian_product_cos,Greenhouse,https://job-boards.greenhouse.io/inmobi/jobs/8073988,InMobi,indian_product,SDE II - AI,3,5,False,Bangalore,,,Python|SQL|Java,REST API|microservices,,RAG|vector databases|semantic search|contextual retrieval|vector search,LangChain|LangGraph|CrewAI|AutoGen|n8n|MCP|Agentic AI|multi-agent workflows|ReAct-style agents,LLMs|Generative AI|Copilot Studio,GCP|Azure|Azure AI|GKE|Databricks,SQL|Spark|Airflow|Caching|data pipelines,CI/CD|Docker|monitoring|evaluate model and workflow performance|inference cost/latency optimization,TensorFlow|PyTorch|fine-tuning pipelines|prompt engineering,stakeholder_management|system_design|mentoring|agile|documentation,"LLM applications, chatbots, copilots and multi-agent workflows with vector-DB retrieval and MCP","3-5 years software development with Python, SQL, TensorFlow/PyTorch. Experience designing and building LLM-powered applications"
2026-09-18,indian_product_cos,Greenhouse,https://job-boards.greenhouse.io/inmobi/jobs/8073655,InMobi,indian_product,SDE IV (ML Engineering),,,False,Lucknow,,,,services,,,,,,data pipelines,shared evaluation infrastructure|monitor|ship and iterate in production,finetuning|distillation pipelines,system_design,"Production finetuning/distillation pipelines, routing algorithms and eval infrastructure",Strong software/ML engineering fundamentals. Willingness to learn model finetuning and distillation on the job
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4463308615,Exterro India,global_product,Machine Learning Engineer,1,3,True,Chennai,,,Python,back-end development,Full stack,internal and external knowledge systems,agentic AI solutions|AI agents,GPT|Llama|Mistral|Hugging Face Transformers,AWS|GCP|Azure,SQL|relational databases|large-scale data processing,Git|model deployment|productionising ML models,PyTorch|TensorFlow|GenAI|LLM|NLP|NLTK|spaCy|fine-tune,documentation|requirements_gathering,"ML models focused on GenAI, LLMs and NLP plus AI agents for real-life problems","1-3 years professional experience in machine learning engineering, particularly GenAI, LLM and NLP domains"
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4452912576,Jnaara,ai_startup,Software Engineer - Agentic AI (Quant Research),2,4,True,Chennai,onsite,15-30,Python|TypeScript,FastAPI|Celery|async-first services,React|Next.js,retrieval layers|retrieval systems,Multi-Agent Systems|agent workflows|multi-agent orchestration|tool delegation,LLM APIs|LLM-as-judge,AWS|Terraform|S3,Snowflake|Postgres|Redis|pipelines,GitHub Actions|evaluation harnesses|golden datasets|regression tests|tracing|latency profiling|observability,,system_design|poc_prototype|documentation,"Multi-agent workflows with state persistence, memory and reasoning traces plus eval harnesses",2-4 years building real software. A public GitHub with at least one stellar agentic-AI project you built yourself
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4464856836,Smart Data Solutions,global_product,"Software Engineer I, Machine Learning",1,,True,"Sholinganallur, Tamil Nadu",,,Python|Java|C#|C++,,,RAGs,,LLMs,,MySQL,Git|containerization|deploy|troubleshoot,machine learning|NLP|deep learning|computer vision,documentation|requirements_gathering,ML models and infrastructure for healthcare claim routing and workflow automation,"1+ year of experience with machine learning, NLP or deep learning. Must have experience with LLMs and RAGs"
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4461154877,Responsive,global_product,Software Engineer,2,,True,Greater Coimbatore Area,,,Java,Spring,React,search and retrieval|ElasticSearch|Apache Solr|semantic search|text processing,,,GCP|Azure|AWS,MongoDB,Test Driven Development|performance tuning,NLP|AI-driven solutions,agile|system_design,Distributed SaaS response-management application with AI-driven search and NLP,2+ years in software design and development using Java. Expertise in search and retrieval technologies
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4457091805,Freshworks,indian_product,Specialist - Bots Strategy,1,3,True,Chennai,,,,,,structured knowledge articles|knowledge management,bot configuration|workflows|automations|guardrails,AI tools,,dashboards,simulations|E2E tests|conversation audits|bot KPIs,intent fixes|conversational design,stakeholder_management|documentation|requirements_gathering|client_facing,"End-to-end AI/bot experience: intents, Q&A content, workflows, guardrails and deflection KPIs","1-3 years in chatbot operations, conversational design or knowledge management in B2B SaaS"
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4462799465,DataWeave,indian_product,Senior Data Engineer,4,7,False,Coimbatore,,,Python,,,Solr|ElasticSearch,,,,mysql|Cassandra|Data pipelines|big data stack,incremental testing and deployment,data mining,documentation,Scalable crawler bots and big-data pipelines for competitive-intelligence products,4-7 years of experience. Expert in Python with strong grasp of CS fundamentals
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4190155357,Meesho,indian_product,Data Scientist III,4,7,False,Bengaluru,,,Python|R|SQL,,,,,,,SQL,A/B tests|model testing,Neural Networks|Machine Learning|Statistics|Linear Algebra,stakeholder_management|mentoring,"Models for fraud detection, inventory optimisation, discounting and demand forecasting",4-7 years as a Data Scientist in a fast-paced organization
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4466175883,Credit Saison India,indian_product,Machine Learning Engineer,2,5,True,Bengaluru,,,Python|SQL,inference serving architectures,,,,foundational AI technologies,AWS,real-time and batch feature pipelines|distributed real-time computing,MLflow|Kubeflow|Docker|TF Serving|ONNX|observability|tracing|alerting|monitoring dashboards|shadow deployments,core ML algorithms|neural networks|deep learning,stakeholder_management|system_design,Real-time feature pipelines and inference serving for credit decisioning models,2-5 years hands-on deploying ML models into production real-time environments
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4427331662,Go Digit Insurance,indian_product,AI consulting lead,3,6,False,Bengaluru,onsite,,Python,,,RAG|vector DBs|FAISS,LangChain,LLMs|GenAI,,,MLOps|MLflow|CI/CD|deployment pipelines|latency|scaling|vLLM,Prompt Engineering|fine-tuning|LoRA|QLoRA|NLP|Speech AI|multilingual models|on-device ML,stakeholder_management|poc_prototype|requirements_gathering|client_facing,End-to-end AI systems for insurance operations measured on TAT reduction and cost,"3-6 years in AI/ML Engineering / GenAI roles. LLMs, RAG, Prompt Engineering and Fine-tuning"
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4465495286,Mopid,ai_startup,AI Engineer,2,4,True,Bangalore,onsite,25-35,Python,backend engineering|API integrations,,RAG|embeddings|vector databases,LangChain|LangGraph|AI agents|multi-step workflows|Function calling,GPT|Claude|Llama|frontier models,GCP,,cloud deployment|production-grade AI applications,,,Production-grade governed and auditable AI systems for enterprise decision-making,"AI Engineer 2-4 Years. Python and backend engineering, LLMs, RAG, embeddings and vector databases, LangChain / LangGraph"
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4461599885,Shuru,consultancy,AI Engineer,2,4,True,Bengaluru,,,Python|TypeScript,FastAPI,,RAG,AI agents|agent workflows|tool calling,LLMs|Claude Code|Cursor|Copilot|Codex,,,evals|measure accuracy and prevent regressions,prompting|structured outputs,poc_prototype,"End-to-end AI/LLM workflows, agents and automation shipped in weekly cycles for clients",2-4 years software engineering. Hands-on experience building with LLMs and AI agents
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4377180180,Saara Inc,ai_startup,Jr. AI Developer,1,,True,Bengaluru,hybrid,,Python,Django,,vector databases,GenAI agents|MCPs|Agno platform|AI agent,OpenAI|Claude|Gemini|LLMs,Azure,Postgres,APIs,prompt engineering|NLP|LangChain,poc_prototype,GenAI agents on internal agent platform plus features for Django ecommerce SaaS,"1+ years of experience in Python and Django. Not afraid of APIs, prompt engineering or thinking about how an AI agent should talk to customers"
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4434968022,Genios AI,ai_startup,Software Engineer - AI Platform,3,,False,Bengaluru,hybrid,,Python|Go|SQL,FastAPI|gRPC|APIs|microservices,full-stack,RAG architectures|embeddings|reranking models|high-scale document indexing,Langchain|LlamaIndex|agentic systems,OpenAI API|Hugging Face Transformers,,SQL,deployment|performance optimization|shipping production systems,TensorFlow|PyTorch|Scikit-Learn|prompt tuning|DSPy,poc_prototype,Applied AI platform features end to end including RAG and LLM dialogue systems,"3+ years in ML/DL pipelines, deployment and applied AI. Knowledge of RAG architectures, embeddings, reranking models"
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4447329688,REVERONIX,ai_startup,AI Engineer,3,,False,Bengaluru,,,Python|TypeScript,integration,,vector stores|embeddings|RAG patterns,,GenAI,,,evals|observability|fallback design|guardrails,,system_design,"Ship AI systems in production with retrieval stacks, evals, guardrails and fallback design",3+ years software engineering with at least 1 year shipping AI systems in production. Have built and run evals
2026-09-18,indian_product_cos,LinkedIn,https://in.linkedin.com/jobs/view/4444868253,FactoFlare AI,ai_startup,Machine Learning Engineer,3,,False,Bengaluru,hybrid,,Python,model serving,,,AI agent systems,,cloud computing,data processing frameworks|feature stores|ML metadata,MLOps|containerization|orchestration|real-time ML inference|edge deployment,ML frameworks|distributed training|large-scale ML systems,system_design,ML engineering and MLOps for autonomous AI-agent platform,"3+ years in machine learning engineering or MLOps. Experience with containerization, orchestration and cloud computing"
2026-09-18,services_mnc,TopGenAIJobs,https://www.topgenaijobs.com/jobs/gen-ai-engineer-at-infosys-in-bengaluru-tk129y,Infosys,services_mnc,GEN AI Engineer,3,5,False,Bangalore,onsite,17-27,Python,,,RAG|Hybrid Search,LangChain|LlamaIndex,Hugging Face|LLM,AWS|GCP|Azure,,Docker|model deployment|containerization|version control|monitoring,PyTorch|TensorFlow|Keras|LoRA|QLoRA|fine-tune|Prompt Engineering,code_review|documentation,Fine-tune GenAI models and build AI-powered workflows with deployment and monitoring,Implement and fine-tune generative AI models. Contribute to prompt engineering and AI-powered workflow development
